states	number	percentage
CA	4589	0.127
TX	3903	0.165
NY	2757	0.145
FL	2250	0.125
OH	1446	0.128
NC	1423	0.155
GA	1294	0.136
PA	1273	0.104
IL	1262	0.100
MI	1076	0.108
AZ	912	0.143
TN	906	0.148
MO	742	0.128
NJ	742	0.087
IN	740	0.118
MA	707	0.112
LA	673	0.161
VA	664	0.086
AL	662	0.145
WA	661	0.102
MS	655	0.226
KY	653	0.155
SC	617	0.141
WI	601	0.110
MD	491	0.088
MN	482	0.093
OR	481	0.128
CO	478	0.098
OK	476	0.134
AR	387	0.138
KS	319	0.117
CT	309	0.089
NM	271	0.140
WV	265	0.148
IA	264	0.089
UT	255	0.096
NV	250	0.097
NE	174	0.099
ID	149	0.099
ME	142	0.109
MT	122	0.130
DC	104	0.180
RI	99	0.095
HI	94	0.075
DE	80	0.093
NH	76	0.058
SD	74	0.094
VT	61	0.099
ND	57	0.093
WY	56	0.109
AK	51	0.076